,euclidean_distance,hdf5_idx
835,439.4,15298
836,439.36,9571
837,439.29,8662
838,439.09,17467
839,438.83,3625
840,438.61,12483
841,438.42,17454
842,438.38,12413
843,438.14,1801
844,438.14,11579
845,438.14,13818
846,438.02,13191
847,437.88,9665
848,437.85,9418
849,437.84,1503
850,437.44,15250
851,437.26,18183
852,437.04,11037
853,436.95,669
854,436.82,10662
855,436.78,8157
856,436.76,3691
857,436.28,9773
858,436.03,1966
859,436.0,13429
860,435.92,14505
861,435.91,659
862,435.56,14921
863,435.38,7547
864,434.96,7786
865,434.91,9827
866,434.81,44
867,434.79,8876
868,434.78,6701
869,434.73,2129
870,434.56,12446
871,434.16,7579
872,434.13,2728
873,434.13,16387
874,434.11,10529
875,433.99,307
876,433.94,13107
877,433.8,12052
878,433.72,3426
879,433.65,10114
880,433.63,1113
881,433.57,12463
882,433.57,12587
883,433.44,1061
884,433.31,5176
885,433.28,13785
886,433.18,7536
887,433.16,743
888,433.1,9007
889,433.05,18938
890,432.99,5139
891,432.89,2652
892,432.86,2775
893,432.85,17107
894,432.84,2658
895,432.68,310
896,432.65,15248
897,432.61,17477
898,432.56,8974
899,432.45,14580
900,432.36,11872
901,432.31,4561
902,432.23,2194
903,432.16,13862
904,432.01,11384
905,431.97,12994
906,431.77,17538
907,431.68,8104
908,431.67,5952
909,431.66,2607
910,431.35,6576
911,431.3,15645
912,431.29,15173
913,431.25,18791
914,431.19,14309
915,431.1,14131
916,431.04,7044
917,430.98,9654
918,430.91,12019
919,430.88,753
920,430.88,11815
921,430.87,12239
922,430.84,10203
923,430.54,2245
924,430.43,9530
925,430.43,14148
926,430.34,1915
927,430.33,14737
928,430.14,17952
929,430.03,10017
930,429.9,14126
931,429.65,5080
932,429.4,12038
933,429.26,10464
934,429.21,12905
935,429.2,16289
936,429.15,6700
937,429.15,14271
938,429.07,9767
939,429.0,18397
940,428.71,6002
941,428.66,6160
942,428.59,985
943,428.31,7024
944,428.25,9168
945,428.13,3929
946,428.1,14803
947,427.99,8115
948,427.75,10786
949,427.2,14027
950,427.04,6024
951,427.0,8273
952,426.98,13860
953,426.95,11454
954,426.82,10610
955,426.74,9373
956,426.7,9692
957,426.55,13963
958,426.48,14002
959,426.41,3694
960,426.22,6795
961,426.21,8507
962,426.02,7127
963,425.85,16278
964,425.78,3998
965,425.78,6757
966,425.75,3311
967,425.67,18699
968,425.64,13561
969,425.5,5063
970,425.34,12570
971,425.31,6504
972,425.27,15206
973,425.26,13914
974,425.25,3644
975,425.23,11563
976,425.12,8915
977,425.11,5177
978,425.08,8249
979,424.95,8954
980,424.58,18641
981,424.35,4489
982,424.23,13707
983,424.2,14204
984,424.09,11145
985,424.06,7710
986,424.05,18921
987,423.94,11151
988,423.77,6933
989,423.74,9052
990,423.71,14193
991,423.66,8259
992,423.6,3048
993,423.53,2236
994,423.5,8664
995,423.29,10296
996,423.27,8014
997,423.22,15439
998,423.14,10023
999,422.93,16117
1000,422.78,11537
1001,422.76,6866
1002,422.58,3569
1003,422.53,16427
1004,422.5,1120
1005,422.46,10980
1006,422.33,9610
1007,422.31,12459
1008,422.26,4433
1009,422.26,14717
1010,422.12,8383
1011,422.02,809
1012,422.02,6433
1013,421.97,14237
1014,421.91,8731
1015,421.9,9449
1016,421.87,5686
1017,421.83,3173
1018,421.67,3647
1019,421.57,8536
1020,421.51,1932
1021,421.48,10895
1022,421.32,11101
1023,421.31,12868
1024,421.22,15556
1025,421.14,6020
1026,421.08,16520
1027,421.0,7447
1028,420.84,13725
1029,420.8,16535
1030,420.79,4380
1031,420.63,15440
1032,420.59,8757
1033,420.55,17408
1034,420.47,3797
1035,420.35,17704
1036,420.04,6902
1037,420.02,838
1038,420.02,18597
1039,419.98,15101
1040,419.95,17386
1041,419.93,4376
1042,419.77,2471
1043,419.73,15254
1044,419.72,726
1045,419.68,18926
1046,419.66,7209
1047,419.59,12310
1048,419.58,17831
1049,419.43,2405
1050,419.3,15489
1051,419.18,15877
1052,419.16,3131
1053,419.1,12433
1054,419.1,14569
1055,419.03,3890
1056,418.99,18182
1057,418.87,11621
1058,418.75,7999
1059,418.74,6216
1060,418.68,8032
1061,418.61,5660
1062,418.61,8971
1063,418.55,18463
1064,418.5,2722
1065,418.45,6678
1066,418.38,4674
1067,418.36,1331
1068,418.3,11508
1069,418.27,1200
1070,418.22,3306
1071,418.21,11297
1072,418.18,323
1073,418.05,10769
1074,418.0,17951
1075,417.98,817
1076,417.95,17863
1077,417.77,1816
1078,417.75,17877
1079,417.72,7351
1080,417.72,18738
1081,417.69,9141
1082,417.68,3398
1083,417.66,14277
1084,417.65,2593
1085,417.51,14149
1086,417.34,625
1087,417.31,18911
1088,417.13,1316
1089,417.13,9636
1090,417.1,10338
1091,417.06,7583
1092,416.94,2475
1093,416.92,11318
1094,416.92,16046
1095,416.86,1205
1096,416.8,15537
1097,416.74,12410
1098,416.65,1577
1099,416.54,675
1100,416.53,17543
1101,416.44,1198
1102,416.44,9489
1103,416.35,9522
1104,416.31,6038
1105,416.29,9227
1106,416.09,10039
1107,415.88,4599
1108,415.79,3654
1109,415.73,15107
1110,415.63,1900
1111,415.61,17160
1112,415.54,8312
1113,415.42,1557
1114,415.35,9475
1115,415.32,3301
1116,415.25,12018
1117,415.24,3615
1118,415.12,5289
1119,415.06,15340
1120,415.01,14394
1121,414.87,7420
1122,414.87,10860
1123,414.85,11506
1124,414.76,5426
1125,414.76,14314
1126,414.74,14060
1127,414.7,14880
1128,414.68,4205
1129,414.65,18399
1130,414.59,13035
1131,414.47,17678
1132,414.35,6132
1133,414.33,3532
1134,414.33,17437
1135,414.32,9034
1136,414.3,507
1137,414.28,2017
1138,414.28,2875
1139,414.01,9053
1140,413.97,18150
1141,413.85,1663
1142,413.81,16644
1143,413.52,754
1144,413.52,15063
1145,413.38,17340
1146,413.31,8779
1147,413.29,15965
1148,413.26,5879
1149,413.26,14065
1150,413.24,630
1151,413.22,1107
1152,413.15,15432
1153,413.08,417
1154,413.07,9823
1155,413.03,16126
1156,412.99,6777
1157,412.86,8888
1158,412.8,5536
1159,412.74,16339
1160,412.72,2787
1161,412.71,4979
1162,412.59,7162
1163,412.59,11945
1164,412.56,8661
1165,412.52,17841
1166,412.5,7829
1167,412.48,14937
1168,412.41,5433
1169,412.4,8112
1170,412.35,14725
1171,412.32,8714
1172,412.25,8854
1173,412.14,15508
1174,412.13,5650
1175,412.11,15362
1176,411.93,5586
1177,411.92,11823
1178,411.75,7027
1179,411.57,1675
1180,411.54,16649
1181,411.49,6499
1182,411.48,11983
1183,411.46,12242
1184,411.42,8817
1185,411.41,5196
1186,411.39,2456
1187,411.38,11442
1188,411.37,5307
1189,411.34,18265
1190,411.29,18043
1191,411.26,11725
1192,411.26,13784
1193,411.19,7524
1194,411.18,11177
1195,411.13,873
1196,411.13,2913
1197,411.1,2058
1198,411.08,12232
1199,411.02,11089
1200,410.96,16924
1201,410.95,5039
1202,410.95,14168
1203,410.93,3958
1204,410.93,11877
1205,410.89,17911
1206,410.87,15088
1207,410.75,12783
1208,410.73,2382
1209,410.7,14388
1210,410.63,17420
1211,410.41,3821
1212,410.38,12702
1213,410.36,139
1214,410.36,10958
1215,410.28,12236
1216,410.26,13622
1217,410.21,15453
1218,410.21,18160
1219,410.15,6542
1220,410.1,6699
1221,410.06,5469
1222,409.95,6807
1223,409.89,14138
1224,409.88,6321
1225,409.88,13032
1226,409.84,270
1227,409.84,8760
1228,409.83,17480
1229,409.72,8099
1230,409.62,8544
1231,409.57,2679
1232,409.51,6482
1233,409.5,13871
1234,409.47,4065
1235,409.47,4237
1236,409.47,13787
1237,409.44,6396
1238,409.38,2478
1239,409.33,7523
1240,409.31,17963
1241,409.28,8151
1242,409.26,10752
1243,409.25,9643
1244,409.25,12083
1245,409.13,3321
1246,409.09,17473
1247,409.03,18663
1248,408.99,12474
1249,408.98,2883
1250,408.96,9885
1251,408.93,2215
1252,408.93,3744
1253,408.84,13793
1254,408.83,1195
1255,408.83,12169
1256,408.82,5148
1257,408.82,10313
1258,408.8,4480
1259,408.79,2443
1260,408.74,1993
1261,408.74,8177
1262,408.67,2
1263,408.64,14567
1264,408.62,3892
1265,408.58,10135
1266,408.57,3730
1267,408.57,5154
1268,408.55,1982
1269,408.54,4625
1270,408.51,1984
1271,408.49,17450
1272,408.45,3154
1273,408.44,18176
1274,408.38,10539
1275,408.37,17907
1276,408.33,17606
1277,408.21,18512
1278,408.13,8490
1279,408.12,18812
1280,408.11,6191
1281,408.06,17040
1282,408.05,11789
1283,408.03,8998
1284,407.99,12550
1285,407.93,16600
1286,407.92,1936
1287,407.88,1095
1288,407.88,4029
1289,407.86,11463
1290,407.82,16523
1291,407.75,6716
1292,407.65,4855
1293,407.65,5747
1294,407.63,2894
1295,407.62,2023
1296,407.62,17315
1297,407.61,4547
1298,407.57,7126
1299,407.55,16165
1300,407.53,16275
1301,407.48,16595
1302,407.41,6451
1303,407.39,14392
1304,407.37,15217
1305,407.34,10633
1306,407.31,5878
1307,407.31,17158
1308,407.27,5788
1309,407.26,4722
1310,407.26,16560
1311,407.2,171
1312,407.19,10489
1313,407.06,15563
1314,407.04,5737
1315,407.0,1078
1316,406.99,4056
1317,406.98,3552
1318,406.98,11070
1319,406.94,16104
1320,406.92,17993
1321,406.9,10448
1322,406.88,3287
1323,406.83,6900
1324,406.83,12338
1325,406.8,1978
1326,406.75,7760
1327,406.73,7773
